episode_no,episode_id,episode_title,highlight_id,status,start_time,end_time,duration,highlight_type,emotion,intensity,confidence,trigger_score,button_text,effect,risk_flags,subtitle_snippet,reason,review_note
E001,4,E001,7,published,30.72,33.52,2.80,conflict,震惊,0.85,0.90,0.82,质问原因,screen_flash,待人工确认,Euthanasia appointment letter 安乐死预约函 / 年之后我会去瑞士 / 一年之后我会去瑞士 / 结婚本来就不是我的意愿 / 顺干 / 是奶奶以死相逼,女主发现男主一年后要安乐死，剧情重大反转，情绪冲击强。,
E001,4,E001,8,published,54.24,58.00,3.76,conflict,愤怒,0.90,0.95,0.88,支持女主,anger_bar,待人工确认,南昭宁 你 / 你做什么,女主主动提出要孩子，男主拒绝，冲突升级。,
E001,4,E001,9,published,106.24,110.00,3.76,conflict,愤怒,0.88,0.92,0.85,替她反击,anger_bar,待人工确认,京烁 / 现在 / 你有两个选择 / 你说,女主说‘做一次少一次’，男主无奈，情绪张力强。,
E001,4,E001,10,published,136.96,140.96,4.00,sweet,甜蜜,0.70,0.80,0.75,撒花,heart_rain,待人工确认,我可真体贴 / 南昭宁,女主夸男主帅、基因好，气氛轻松甜蜜。,
E001,4,E001,11,published,146.08,150.32,4.24,conflict,紧张,0.80,0.85,0.80,选一还是二,countdown,待人工确认,看来你选 / 我选二 / 培养感情 / 行了吧,女主给出两个选择，男主面临抉择，悬念强。,
E001,4,E001,12,published,162.72,166.72,4.00,reversal,惊喜,0.75,0.85,0.78,期待发展,heart_rain,待人工确认,下去了吗,男主选择培养感情，关系出现转机。,
E001,4,E001,13,published,173.28,176.48,3.20,suspense,好奇,0.65,0.70,0.72,偷看后续,countdown,待人工确认,当我靠近你眼眸不再躲壁 / 当我靠近你眼眸不再躲避 / 当我靠近你眼眸不再躲 / 当我靠立你眼眸不再躲避 / 指尖触碰瞬间不再犹豫,男主问‘下去了吗’，暗示可能发生亲密关系，悬念十足。,
E001,4,E001,14,published,180.00,183.28,3.28,sweet,甜蜜,0.70,0.75,0.74,嗑到了,heart_rain,待人工确认,指尖献碰瞬间不再犹豫 / 烟火气弥漫这间公寓 / 那年冬至,歌词‘当我靠近你眼眸不再躲避’配合画面，浪漫氛围。,
E002,5,E002,15,published,22.08,25.84,3.76,conflict,惊讶,0.75,0.80,0.78,看男主反应,screen_flash,待人工确认,我不过就是亲了你一下 / 你怎么这么大反应 / 该不会,女主主动亲吻男主，男主反应激烈，冲突感强,
E002,5,E002,16,published,46.08,49.36,3.28,sweet,甜蜜,0.60,0.70,0.65,磕到了,heart_rain,待人工确认,现在立刻从我身上下去 / 好嘞老公 / 那我先去洗漱了 / 有什么事记得叫我,女主乖巧回应，互动甜蜜,
E002,5,E002,17,published,58.08,64.96,6.88,satisfying,得意,0.70,0.75,0.72,女主好敢,boom_effect,待人工确认,我刚才亲了京烁 / 就算一年后他要死 / 我也赚了 / 南昭宁不愧是你,女主内心独白，认为自己赚了，爽感十足,
E002,5,E002,18,published,113.28,116.80,3.52,satisfying,满足,0.80,0.85,0.82,奶奶大气,heart_rain,待人工确认,昭昭啊 / 阿烁两年前出了车祸 / 才变成这样的 / 他不爱跟别人接触,奶奶给女主送房送珠宝，观众感到满足,
E002,5,E002,19,published,126.24,129.76,3.52,conflict,愤怒,0.85,0.90,0.88,替女主反击,anger_bar,待人工确认,太奶奶 / 这个女人就是 / 冲着咱们家钱来的 / 她有什么好委屈的 / 昕然 / 之前的时候给了那么多,侄女指责女主贪钱，冲突升级,
E002,5,E002,20,published,137.28,141.20,3.92,satisfying,爽快,0.80,0.85,0.83,怼得好,boom_effect,待人工确认,喜欢钱又怎么了 / 谁不喜欢钱呢 / 你不喜欢吗 / 对啊 / 你花的钱还少吗,女主霸气回怼侄女，观众解气,
E002,5,E002,21,published,161.28,164.56,3.28,suspense,好奇,0.70,0.75,0.72,看看是谁,countdown,待人工确认,闭嘴 / 许黛青 / 在京烁高中时期,提到男主青梅竹马，悬念感强,
E002,5,E002,22,published,180.96,184.48,3.52,suspense,期待,0.65,0.70,0.68,期待后续,countdown,待人工确认,京烁好帅 / 那就是京烁的 / 青梅竹马许黛青吧 / 累了吧 / 他们两家可是门当户对,众人议论男主和青梅竹马，期待后续发展,
E003,6,E003,23,published,3.84,5.68,1.84,conflict,愤怒,0.85,0.90,0.82,替她说话,anger_bar,待人工确认,京昕然 / 你小叔在病床上最难的时候 / 那个女人选择离开 / 以后不许在咱们家再提到她,奶奶严厉禁止提及那个女人，家庭矛盾爆发,
E003,6,E003,24,published,14.88,17.68,2.80,conflict,委屈,0.70,0.85,0.75,安慰她,heart_rain,待人工确认,就要怎么敬重她 / 给小道歉 / 对不起小,被迫道歉，情绪压抑，观众同情,
E003,6,E003,25,published,26.88,29.20,2.32,sweet,坚定,0.60,0.80,0.70,支持她,heart_rain,待人工确认,京烁是我自己选择的 / 我不觉得委屈的 / 而且过去的事情已经过去了,她表达对京烁的选择不后悔，展现深情,
E003,6,E003,26,published,48.00,53.68,5.68,suspense,尴尬,0.65,0.75,0.72,看京烁反应,countdown,待人工确认,是不是考虑生几个孩子 / 这事 / 得看京烁的实力了 / 胡言乱语,被催生，回答暧昧，引发悬念,
E003,6,E003,27,published,56.16,57.76,1.60,conflict,愤怒,0.80,0.85,0.78,追上去,anger_bar,待人工确认,胡言乱语 / 我走了 / 你随便吧,奶奶生气离场，家庭关系紧张,
E003,6,E003,28,published,109.12,113.92,4.80,sweet,甜蜜,0.70,0.80,0.74,撒糖,heart_rain,待人工确认,好像比以前更锋利了 / 京烁,妻子撒娇叫老公，展现亲密,
E003,6,E003,29,published,116.32,121.28,4.96,suspense,担忧,0.75,0.85,0.80,了解详情,countdown,待人工确认,京烁 / 睡着了 / 那只能明天再培养感情了,提到手术方案被拒绝，留下悬念,
E003,6,E003,30,published,129.12,131.44,2.32,suspense,期待,0.60,0.70,0.68,看发展,countdown,待人工确认,南昭宁 / 要做吗,问是否要做，暗示亲密关系发展,
E004,7,E004,31,published,0.48,3.76,3.28,sweet,暧昧,0.70,0.80,0.75,答应她,heart_rain,靠近开头,要做吗 / 你脑子里只有这些事吗,开场直接提出亲密请求，情绪张力强，适合触发互动,
E004,7,E004,32,published,8.16,12.16,4.00,sweet,暧昧,0.65,0.75,0.70,支持她,heart_rain,待人工确认,你脑子里只有这些事吗 / 反正也睡不着,女主主动暗示要孩子，气氛暧昧，适合互动,
E004,7,E004,33,published,30.72,34.24,3.52,sweet,挑逗,0.80,0.85,0.85,配合她,heart_rain,待人工确认,奶奶说你可以 / 但是我也不能只信 / 奶奶的一面之词 / 对吧 / 我得亲自验验货,女主大胆说要验货，情绪高潮，互动性强,
E004,7,E004,34,published,37.44,40.24,2.80,conflict,无奈,0.60,0.70,0.65,继续撩他,anger_bar,待人工确认,我得亲自验验货 / 南昭宁 / 你能不能矜持点,男主让女主矜持，轻微冲突，可触发选择,
E004,7,E004,35,published,43.68,47.68,4.00,sweet,调皮,0.75,0.80,0.80,夸她可爱,heart_rain,待人工确认,你能不能矜持点 / 矜持又不利于繁殖,女主用繁殖论反驳，幽默又暧昧，适合互动,
E004,7,E004,36,published,49.44,53.20,3.76,conflict,严肃,0.55,0.65,0.60,安慰他,anger_bar,待人工确认,我只是腿脚不便 / 不是智力受损 / 别胡闹,男主强调自己不是智力受损，轻微对抗,
E004,7,E004,37,published,54.72,59.68,4.96,sweet,挑逗,0.85,0.90,0.90,让她检查,heart_rain,待人工确认,别胡闹 / 那我们要孩子 / 我关心一下工具很正常吧,女主说关心工具，极致暧昧，互动最佳点,
E004,7,E004,38,published,106.56,112.24,5.68,sweet,害羞,0.70,0.75,0.70,偷笑他,heart_rain,待人工确认,又不是十七八岁 / 只是被摸了两下就起反应了 / 没出息,男主自言自语被摸后起反应，内心戏足，适合互动,
E005,8,E005,39,published,6.72,10.72,4.00,suspense,疑惑,0.50,0.60,0.55,他在怀疑什么,screen_flash,置信度偏低、触发分偏低,你在看什么,女主被男主质问，气氛紧张，引发好奇,
E005,8,E005,40,published,30.24,36.16,5.92,conflict,愤怒,0.80,0.85,0.82,替她反击,anger_bar,待人工确认,从今天起 / 你搬到隔壁栋去 / 那也是我的房子 / 老公 / 分居呢不利于夫妻感情,男主命令女主搬走，冲突升级,
E005,8,E005,41,published,42.72,46.96,4.24,reversal,震惊,0.90,0.90,0.88,他为什么想死,boom_effect,待人工确认,我们还怎么要孩子 / 别喊我老公 / 一年后我就会去死 / 到时候我们什么关系也没有,男主说一年后去死，剧情大反转,
E005,8,E005,42,published,48.96,53.76,4.80,sweet,幽默,0.70,0.80,0.75,这老婆太会了,heart_rain,待人工确认,到时候我们什么关系也没有 / 那你现在不还没死呢吗 / 等你死了再说 / 而且你死了以后 / 就是死老公了 / 问题不大,女主机智回应，气氛轻松有趣,
E005,8,E005,43,published,59.04,64.72,5.68,satisfying,得意,0.75,0.80,0.78,叫老婆啊,screen_flash,待人工确认,问题不大 / 礼尚往来 / 你也可以叫我老婆啊 / 我不介意的 / 这辈子都不可能叫,女主调侃男主，互动有趣,
E005,8,E005,44,published,104.80,108.80,4.00,suspense,好奇,0.60,0.70,0.65,里面有什么,countdown,待人工确认,这里是少爷的书房 / 悲剧的诞生（8）总米） 沉思求 存在与虚无订请本 尚点 悲剧的诞生 / 悲剧的诞生 沉思求 钢铁是怎样炼成的 存在与虚无修订译本 的蜗点 四弗神话 / 悲剧的诞生 沉思求 钢铁是怎样炼成的 存在与虚无缘订评本 人性的弱点 （一 四西弗神话 / 悲剧的诞生 钢铁是怎样炼成的 沉思录 存在与虚无修订语...,神秘房间不让进，埋下伏笔,
E005,8,E005,45,published,149.28,153.20,3.92,suspense,好奇,0.65,0.70,0.68,书里有答案吗,screen_flash,待人工确认,我能帮她什么 / 老公 / 我真的很需要你帮忙,女主发现男主看哲学书，暗示想死原因,
E005,8,E005,46,published,185.28,193.12,7.84,sweet,期待,0.70,0.75,0.72,帮帮她,heart_rain,待人工确认,,女主撒娇求助，关系缓和,
E006,9,E006,61,published,2.40,4.00,1.60,sweet,温馨,0.65,0.70,0.60,点赞,heart_rain,待人工确认,还有这些 / 谢谢,妻子展示第一次见奶奶的衣服，回忆美好时光，情感温馨,
E006,9,E006,62,published,10.08,11.92,1.84,sweet,温馨,0.70,0.75,0.65,点赞,heart_rain,待人工确认,这个是我第一次 / 见奶奶的时候穿的 / 那个时候你没有来 / 是不是超级好看,妻子展示领证时的衣服，甜蜜回忆，情感浓度高,
E006,9,E006,63,published,32.64,37.60,4.96,sweet,感激,0.75,0.80,0.70,好甜,heart_rain,待人工确认,好 / 终于收拾好了 / 老公 / 谢谢你 / 要是没有你 / 我得费好大一阵功夫的,妻子感谢丈夫帮忙收拾，互动甜蜜，适合触发互动,
E006,9,E006,64,published,52.32,55.60,3.28,suspense,疑惑,0.60,0.65,0.55,什么事,countdown,触发分偏低,老公 / 我们好像忘了一件事情 / 什么事,妻子说忘了事情，制造悬念，引发观众好奇,
E006,9,E006,65,published,82.08,86.08,4.00,sweet,温馨,0.70,0.75,0.65,记录,heart_rain,待人工确认,那个,丈夫说第一次培养感情不记录可惜，甜蜜互动,
E006,9,E006,66,published,109.44,114.88,5.44,conflict,困惑,0.50,0.60,0.50,怎么回事,screen_flash,置信度偏低、触发分偏低,真是 / 莫名其妙,丈夫说莫名其妙，可能产生小冲突或误解,
E007,3,E007,53,published,39.36,42.64,3.28,conflict,愤怒,0.85,0.90,0.88,质问老公,anger_bar,待人工确认,你不用管 / 陈明陈明还是陈明 / 到底他是我老公 / 你是我老公啊 / 我不过是你名义上的老公,女主质问老公为何总是陈明，情绪爆发，冲突升级,
E007,3,E007,54,published,45.60,49.84,4.24,conflict,冷漠,0.70,0.85,0.75,心碎离开,screen_flash,待人工确认,我不过是你名义上的老公 / 你想交往其他人我不干涉 / 但是不要带到家里来 / 也不要让奶奶知道,男主冷漠回应，暗示开放式婚姻，关系紧张,
E007,3,E007,55,published,57.12,61.12,4.00,reversal,惊讶,0.80,0.88,0.85,试探他,boom_effect,待人工确认,哦呦 / 看不出来嘛 / 你思想这么前卫开放的呀 / 好 / 那我下午就出去约会喽,女主假装要出去约会，试探男主反应，反转情绪,
E007,3,E007,56,published,108.64,113.36,4.72,conflict,愤怒,0.75,0.82,0.78,怼回去,anger_bar,待人工确认,我已经跟你说的很清楚了 / 你又何必在我身上 / 浪费时间啊 / 我的时间我都没觉得浪费 / 你怕什么,男主说女主浪费时间，女主反驳，冲突再起,
E007,3,E007,57,published,120.00,125.20,5.20,suspense,期待,0.70,0.80,0.76,好奇后续,countdown,待人工确认,你是觉得亏欠我 / 那不如 / 走之前给我和孩子多留点钱 / 在这一年里,女主提到一年后遗产和俏寡妇，悬念拉满,
E007,3,E007,58,published,134.56,139.28,4.72,satisfying,得意,0.80,0.85,0.82,支持女主,boom_effect,待人工确认,帮我盛碗汤呗,女主幻想未来，言语犀利，观众解气,
E007,3,E007,59,published,144.64,148.40,3.76,conflict,愤怒,0.78,0.83,0.80,反击,anger_bar,待人工确认,谢谢老公,男主直呼女主全名，语气严厉，矛盾激化,
E007,3,E007,60,published,157.12,162.00,4.88,sweet,甜蜜,0.60,0.75,0.70,接受撒娇,heart_rain,待人工确认,你也多吃点 / 这个有营养啊 / 那辩至 / 那冬至 / 那至,女主撒娇让老公盛汤，气氛缓和，有甜蜜感,
